Name,Website,Level of operation,Country,latitude,longitude,Continent,Headquater,Start,Type (ILO),Typology,Sector (ILO definitions),Sub-category,Type of work,Size,Business model,Employment relationship,Payment,Working hours,Worker provisions,Quality assurance measures,Matching method,Disputes,Skill level (professional),Skill level (digital),Language,Contact,Founder
Fastwork,https://fastwork.co/,Regional,Asia,-,-,Asia,"Bangkok, Thailand",2015,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"Graphic design, web & programming, marketing & advertising, etc.",150k+ freelancers,"Workers: freelancers
Platform: It is a marketplace for freelancers. Employers can fill their work details and the personal assistant team will get back to discuss on freelancer options and assist them through next steps to details of the work process before getting their work done by freelancers they choose.",Independent contractor,-,-,-,-,Hand matching,-,Medium,Intermediate,"English, Chinese and Thai",,
Sribulancer,https://www.sribulancer.com/en,Country,Indonesia,-0.789275,113.921327,Asia,"Jakarta, Indonesia ",2014,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"Videography, photography & audio, writing and translation, branding, etc.",-,"Workers: freelancers
Platform:  Sribulancer works for freelancer by bringing together workers with clients who need certain skills & abilities. With Sribulancer online platform, all job process from job posting, recruiting, work progress until the finish, is well managed by Sribulancer online system. Freelancer will  be charged a 10% commission fee of the total value of the job successfully completed.",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,"English, Indonesian",,
MARQETR,https://www.marqetr.com/,Country,Malaysia,4.210484,101.975766,Asia,"Kuala Lumpur, Malaysia",2020,Web-based,Online marketplace,Professional services,Specialised freelancing,Marketing,-,"Workers: marketing freelancers
Platform:  it is a one-stop marketplace for on-demand marketing experts. It has four revenue models: (1) monthly subscriptions for business users, (2) sliding take-rates or platform fees for on-demand/freelance marketers, (3) content/media production with MARQETR Studio launched in November 2022 and (4) e-learning courses with MARQETR Academy launched in December 2022.
Freelancing: Employers post their requirements and the platform will match freelancers or agencies for them. If the project is big enough to requre multiple freelance marketing talents across different disciplines like strategy, creative, copywriting, media planning and buying, execution and reporting, the project request will be matched with the following experts with skills and expertise required on marqetr.com, for example:
- a lead marketer who has formed his or her own e-team or e-agency on marqetr.com.
- a full-service agency or consultancy that's been registered on marqetr.com.
- a solo marketer on marqetr.com who can do it all.
Employers can  sign-up for free and have access to 3 matched marketers for their project brief. They can upgrade to prenium subscription plans to upgrade the service.
Freelancers are charged 9% of less than $1000 in earnings from a client, 6% for $1000-10,000, 3% of more than $10,000",Independent contractor,-,-,-,-,-,-,High,Intermediate,English,,
KENZAP PTE LTD,https://kenzap.com/,Country,Singapore,1.352083,103.819836,Asia,Singapore,2014,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"IT, Design, business administration, etc.",-,"Workers: freelancers
Platform: it connects freelancing professionals to employers for on-demand projects.",Independent worker,-,-,-,-,Free choice,-,High,Intermediate,English,,
FHmoms,https://fhmoms.com/,Country,Philippines,12.879721,121.774017,Asia,"Rizal, Philippines",2017,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,freelancing,-,"Workers: freelancing moms
Platform: FHMOMS is a social enterprise that empowers home-based Filipina moms and mom figures to pursue their passion in freelancing, parenting, and entrepreneurship by providing an accessible e-learning platform and community that provides training, job opportunities and other support needed in their journey.",Independent contractor,-,-,Training (training on chosen niche such as accounting),-,-,-,High,Intermediate,English,,
WeSoarHigh,https://wesoarhigh.com/,Country,Philippines,12.879721,121.774017,Asia,Philippines,2020,Web-based,Online marketplace with a threshold,Professional services,Specialised freelancing,freelancing developers,-,"Workers: freelance developers from philiphine
Platform: It connect employers and pre-vetted web and mobile developers. The platform matches employers to the right freelancing with the details of employer's requirements. Freelance developers need to undergo a thorough vetting selection and each of them passed a skills assessment review and interivew process.",Independent contractor,-,-,-,-,Hand matching,-,High,Advanced,English,,
JoyRide,https://joyride.com.ph/,Country,Philippines,12.879721,121.774017,Asia,Philippines,2019,Location-based,Situ intermediaries,Transport,Logistics/Courier,"Transport, logistics and marketplace",20k+ drivers,"Workers: drivers, delivery persons, merchants
Platform: Motorcycle service, car service, tricycle service, delivery, pabili, in-app mall, and mobile load purchase It also offers food, drinks, groceries ordering and delivery services. Drivers are regarded as partners.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,
Angkas,https://angkas.com/,Country,Philippines,12.879721,121.774017,Asia,"Makati, Philippines",2016,Location-based,Situ intermediaries,Transport,Logistics/Courier,"Transport, logistics",27k+ bikers,"Workers: bikers, delivery persons
Platform: All bikers go through stringent background checks, safety training, COVID-19 preparedness training, and skills assessments. Motorcycles are quality-checked to ensure passenger safety.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,
Toktok,https://toktok.ph/,Country,Philippines,12.879721,121.774017,Asia,"Metro Manila, Philippines",2020,Both,Situ intermediaries,Transport,Logistics/Courier,"Transport, logistics",-,"Workers: drivers (toktok delivery, toktokgo), sellers (toktokmall) restaurant owners (toktokfood), operators (to manage drivers)
Platform: It is a platform that offers various services including e-hailing, food ordering, e-commerce and delivery. People can join as a merchant, a driver and an operator.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Medium,Intermediate,English and Filipino,,
MyCar,https://www.mycarasia.com/site/,Country,Malaysia,4.210484,101.975766,Asia,"Selangor, Malaysia",2018,Location-based,Situ intermediaries,Transport,E-hailing,Ride-hailing,-,"Workers: drivers (Mycar, MyDelivery), merchants
Platform: It offers e-hailing services and drivers are regarded as partners.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,
MULA,https://mula2u.com/,Country,Malaysia,4.210484,101.975766,Asia,"Penang, Malaysia",2016,Location-based,Situ intermediaries,Transport,E-hailing; Logistics/Courier,Delivery services and ride-hailing,-,"Workers: drivers (Mula car, parcel, eats), merchants
Platform: It offers e-hailing, parcel delivery and food ordering and delivery services",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,
Riding Pink,https://ridingpink.com/,Country,Malaysia,4.210484,101.975766,Asia,"Kuala Lumpur, Malaysia",2016,Location-based,Situ intermediaries,Transport,E-hailing,e-hailing for women and children only,-,"Workers: female drivers
Platform: It offers e-hailing service and recurring rides exclusively to women and children. Pinkaid to provide personal shopper, delivery and runner services.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,
Quickride,https://quickride.in/,Country,India,20.593684,78.96288,Asia,"Bengaluru, India",2015,Location-based,Asset sharing,Transport,Other,ride-sharing,-,Platform: It connects people with other like-minded professionals who are traveling on the same route and same time. It also provides e-hailing services.,-,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,
Viax Education,https://www.viax.org/english/,,China,35.86166,104.195397,Asia,"Beijing, China",2015,Web-based,Online marketplace with a threshold,Education,Specialised freelancing,Research education,-,"Workers: instructors
Platform: Viax connects instructors to students and help students cultivate an interest in academic research.
Instructors are selected to join the pool of ViaX instructors: should have a PhD ore more from a top univiersity, have experience in mentoring research and experience in teaching students in a research field. ",Independent contractor (Cooperation Agreement between the platform and instructors),Set by the platform,-,-,Employers' inspection of progress (by an assigned course coordinator),Hand matching,-,High,Intermediate,English & Chinese,,
Truelancer,www.truelancer.com,Country,Asia,-,-,Asia,"New Delhi, India",2014,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"IT & Programming,Graphic Design, Content Writing, Data Entry, Finance and Sales & Marketing",1 million+ freelancers,"Workers: freelancers
Platform: It is an online Platform for Employers to hire Professionals to get their work done. Freelancers and professionals can search jobs and earn money by working with real clients across the world.",-,-,-,-,-,Free choice,-,High,Intermediate,English,,
Ola Cabs,https://www.olacabs.com/,Global,"India, Australia, New Zealand, UK",55.378051,-3.435973,International,"Bangalore, India",2010,Location-based,Situ intermediaries,Transport,E-hailing,On-demand ride hailing,"4 countries, 250+ cities","Workers: drivers
Platform: Ola offers mobility solutions by connecting customers to drivers and a wide range of vehicles across bikes, auto-rickshaws, metered taxis, and cabs, enabling convenience and transparency for hundreds of millions of consumers and over 1.5 million driver-partners.",Independent contractor,Set by the platform,- ,-,Tracking,Algorithmic matching ,-,Medium,Basic,English,,
Fiverr,https://www.fiverr.com/,Global,,-,-,International,"Tel Aviv, Israel",2010,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,Freelance marketplace,50M+ transactions,"Workers: Service sellers (freelancers)
Platform: Act as a marketplace for service sellers and buyers and provide a system for them to communicate. Posting is free but it takes 20% from each transaction.",Independent contractor,-,-,-,-,Free choice,-,Medium,Intermediate,English,,
Uber,https://www.uber.com/gb/en/,Global,,-,-,International,"San Francisco, US",2009,Location-based,Situ intermediaries,Transport,Logistics/Courier,"On-demand ride hailing, Food delivery",120+ milion monthly active users,"Workers: drivers and delivery persons
Platform: It provides mobility as a service, ride-hailing (allowing users to book a car and driver to transport them in a way similar to a taxi), food delivery (Uber Eats and Postmates), package delivery, couriers, and freight transportation.",Independent contractor,UBER UK At least the National Living Wage,-,"UBER UK Other: Holiday pay, access to a pension plan contributed by workers and Uber (if eligible); 

Insurance (Free, covering injury, sickness, life event such as being a new parent)

Training (partnership with university)",In-app tracking,Algorithmic matching ,Customer service,Low,Basic,English and other languages,,
Deliveroo,https://deliveroo.co.uk/,Global,,-,-,International,"London, UK",2013,Location-based,Situ intermediaries,Transport,Logistics/Courier,Food delivery,-,"Workers: delivery persons
Platform: It connects customers with restaurants and provide delivery services. Riders need third-party liability insurance to work with Deliveroo.",Independent contractor (Short-term supplier agreements; unlimited supplier agreement),Set by the platform,-,"Insurance (free, accident)",In-app tracking,Algorithmic matching ,Rider support,Low,Basic,English,,
Amazon Flex,https://flex.amazon.co.uk/,Global,,-,-,International,USA,2015,Location-based,Situ intermediaries,Transport,Logistics/Courier,Delivery,-,"Workers: delivery persons
Platform: It provide delivery services for Amazon",Independent contractor,Set by the platform,-,-,In-app tracking,Algorithmic matching ,-,Medium,Basic,English and other languages,,
Lynx,https://lynk.global/,Global,20+ countries,-,-,International,"Shanghai, Hong Kong, Singapore, Manila, Mumbai, Hyderabad, NYC or Toronto",2015,Web-based,Online marketplace with a threshold,Professional services,Specialised freelancing,"Knowledge-based solution: consultancy, speaking, etc.",-,"Workers: experts
Platform: It matches jobs to workers based on their expertise. Workers are vetted by Lynk, client reviews, and identity verification",Project-based contract between workers and employers facilitated by the platform,-,-,Other (A knowledge partner program to recieve exclusive and unique opportunities),-,Hand matching,-,High,Intermediate,English and other languages (e.g. Chinese),,
Upwork,https://www.upwork.com/,Global,,-,-,International,"San Francisco, US",2013,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,Any work that can be performed on a computer,One of the largest freelancer marketplace in the world,"Workers: freelancer
Platform: Clients post tasks and freelancers bid for work. Upwork charges freelancers and agencies a 20%, 10%, or 5% service fee depending on the total amount they’ve billed with a client.",Project-based contract between workers and employers facilitated by the platform,-,-,-,-,Free choice,-,Medium,Intermediate,English,,
Freelancer,freelancer.com,Global,,-,-,International,"Sydney, Australia",2009,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,Any work that can be performed on a computer,One of the largest freelancer marketplace in the world,"Workers: freelancer
Platform: Clients post tasks and freelancers bid for work. Freelancer takes a service fee depending on the projects.",Project-based contract between workers and employers facilitated by the platform,-,-,-,-,Free choice,-,Medium,Intermediate,English,,
CloudFactory,cloudfactory.com,Global,,-,-,International,"offices in the U.K., U.S., Nepal, and Kenya",2010,Web-based,Online contracting intermediaries,Professional services,Specialised freelancing,AI data labeling,-,"Platform: It provides image annotation, video annotation, data labeling etc. solutions though crowdsourcing. Workers are an in-house team vetted by the platform.

The platform screens its data analysts (workers) for character, skill, tech savvy, and cultural awareness. Each data analyst joins a small team, where their strengths are known and valued by leaders. 
Clients are provided a dedicated project manager, who leads their analyst team, serves as their day-to-day contact, and optimizes their team’s outputs.
Clients are also provided a client success manager, who advocates for them, tracks outcomes to ensure target metrics are achieved, and can troubleshoot as needed.",-,Set by the platform,-,-,-,-,-,Low,Basic,English,,
Digital Divide Data,www.digitaldividedata.com,Global,,-,-,International,"Cambodia, Laos, Kenya, Philippines, Gaza",2001,Web-based,Online contracting intermediaries,Professional services,Specialised freelancing,metadata and tagging services,"1,000+ content and database specialists","Workers: data labelers
Platform: It offers training and employment in IT and data services to people from underserved communities, and thereby providing them a path to economic self-sufficiency. The platform assigns a team of solution engineers, data analysts, and project managers that stay with clients.",Full-time employees,-,-,-,-,-,-,Low,Basic,English & other languages,,
Sama,https://www.sama.com/,Global,,-,-,International,"San Francisco, US. delivery centers in Nairobi and Gulu, Uganda, and partners with additional delivery centers in India",2008,Web-based,Online contracting intermediaries,Professional services,Specialised freelancing,"Data Annotation & Labeling: Image annotation, Video annotation, 3D point cloud annotation, Data curation",-,"Workers: freelancer
Platform: Sama's platform breaks down complex data projects from large companies into small tasks that can be completed by women and youth in developing countries with basic English skills after a few weeks of training.",-,-,-,-,-,-,-,Low,Basic,English,,
Guru,https://www.guru.com/,Global,,-,-,International,"Pittsburgh, Pennsylvania, USA",1998,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"Web development, design, translation, etc.",800k employers,"Workers: freelancer
Platform: Guru connects employers and freelancers securely and flexibly online. Employers post job descriptions, including payment offered. Freelancers post profiles highlighting their skills and services. Guru charge a nominal handling fee of 2.9% for each invoice employers pay.",Work agreement between workers and employers facilitated by the platform,-,-,-,Employers' inspection of progress: WorkRoom,Free choice,-,High,Intermediate,English,,
Andela,https://andela.com/about/,Global,,-,-,International,USA,2014,Web-based,Online contracting intermediaries,Professional services,Specialised freelancing,IT,funding Series E,Platform: It is a global job network for software developers. It analyses clients' needs and matches them with technology experts.,-,-,-,"Training: Andela learning community, Leadership program",-,Hand matching,-,High,Advanced,English,,
Dhgate,https://www.dhgate.com,Global,,-,-,International,"Beijing, China",2004,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,operates in 230+ countries and regions globally,"Workers: manufacturers
Platform: It is a global one-stop trade and service platform for small and medium retailers. It focuses on the small B2B sector, providing cross-border e-commerce full services. The services include store operation, traffic marketing, warehousing and logistics, payment and finance, customer service, risk control, customs inspection and remittance, and business training.",-,-,-,-,-,-,-,Medium,Intermediate,Multi-language,,
AliExpress,https://aliexpress.com,Global,,-,-,International,"Hangzhou, China",2010,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,operates in 220 countries,"Workers: Vendors
Platform: support sellers on personalizing their stores and provide delivery services. There is a commission fee which is charged on the actual store transactions in the range of 5-8% depending on items and categories.",-,-,-,-,-,-,Disputes & report system,Medium,Intermediate,Multi-language,,
Peopleperhour,https://www.peopleperhour.com,Global,,-,-,International,"London, UK",2007,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"Technology & programming, writing & translation, design, digital marketing, etc.",2 million freelancers,"Workers: freelancers
Platform: Act as a marketplace where people and business can post their project requirements and freelancer can bid for the job. The platform matches projects with freelancers through an AI system. It takes 3.5-20% as commission.",-,-,-,-,Employers' inspection of progress: Project stream-where employers can keep track of a project.,Algorithmic matching ,-,Medium,Intermediate,English,,
Twago,https://twago.talent-pool.com/,Global,,-,-,International,"Berlin, Germany",2009,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"Accounting, financing & management; company support & customer service; design & media, etc.",-,"Workers: freelancers/ agencies
Platform: It is a freelancer marketplace. Freelancers can register on the platform and upload their profiles. Then they can apply for freelancing jobs which pays by hours, days or months. Employers can post projects (or jobs) with specific requirements, skills budget and timeline. Then they will receive multiply offers from which they can choose. The platform takes a monthly charge starting from €29.",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,English,,
Workana,https://www.workana.com/,Global,,-,-,International,"Buenos Aires, Argentina",2012,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,expert freelancers,600k employers,"Workers: freelancers/ agencies
Platform: It is a freelancer marketplace. Employers post their projects and receive proposals. Freelancers can post their profiles and apply for jobs. The service cost is 4.5% in all cases where a contract is made regardless of the form of payment, and the minimum value of this service cost is 2 USD. The payment of this cost is made by the customer.",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,English,,
Wolt,https://wolt.com/en,Global,,-,-,International,"Helsinki, Finland",2015,Location-based,Situ intermediaries,Transport,Logistics/Courier,Food delivery,12 milion registered customers,"Workers: delivery persons
Platform: customers can order food and other items from the platform's restaurant and merchant partners, and either pick up their order or have it delivered by the platform's courier partners.",Independent contractor,Set by the platform,-,-,In-app tracking,Algorithmic matching ,-,Low,Basic,Multi-language,,
Na'Takallam ,https://natakallam.com/,Global,,-,-,International,"New York, United States",2015,Web-based,Online marketplace with a threshold,Education,Personal service,Language tutoring,12k+ users,"Workers: tutors and translators
Platform: NaTakallam hires displaced persons & their host community members as online tutors, teachers, translators & cultural exchange partners",Independent contractor,Set by the platform,-,-,-,-,-,Medium,Basic,English,,
Chatterbox,https://www.chatterbox.io/,Global,,-,-,International,"London, UK",2016,Web-based,Online marketplace with a threshold,Education,Personal service,Language tutoring,-,"Workers: coaches
Platform: It helps people of economic exclusion become language coaches and connect them to students. Coaches do not need previous teaching experience, but should have a good level of spoken English and education to a degree level.",Independent contractor,Set by the platform,-,"Community (Chatterbox community where they share exclusive job, training and funding opportunities)",-,-,-,Medium,Basic,English,,
Appen,https://appen.com/,Global,,-,-,International,"New South Wales, Australia",1996,Web-based,Online contracting intermediaries,Professional services,Specialised freelancing,IT,1 million+ contributors,"Platform: Appen provides or improves data used for the development of machine learning and artificial intelligence products. Data types include speech and natural language data, image and video data, text and alphanumeric data and relevance data to improve search and social media engines.
Appen takes work from clients
Workers can apply for three types of flexible work: 1) long-term or part-time projects; 2) micro tasks; 3) survey and data collection- simple tasks such as surveys or record voice with a mobile device.",Independent contractor,Above minimum wage compensation across global markets,-,"Other: wellness, community, and connections through online forums and best practices",-,-,-,Low,Basic,English,,
humans in the loop,https://humansintheloop.org/,Global,,-,-,International,"Sofia, Bulgaria",2017,Web-based,Online contracting intermediaries,Professional services,Specialised freelancing,IT,-,"Worker: annotators
Platform: It is a hybrid social enterprise which is comprised of two entities: a for-profit company which provides employment opportunities to our beneficiaries, and a non-profit foundation which offers training programs to upskill them and support them in their career development. ","Agreement for each project: outline the work, expectations and purpose",A minimum hourly wage that is above the local minimum wage in each country,-,"Training: HITL Stars (digital skills training, English language tuition, career conseling), HITL business stars (for refugee entrepreneuers)- business support and training; English language partnership

Insurance (accident & health)",-,-,"A process to appeal non-payment, low ratings or corrections",Low,Basic,English,,
Youtube,Youtube.com,Global,,-,-,International,"San Bruno, California",2005,Web-based,Social media (for income generation),"Media, culture, graphic",Other,Video-sharing,-,Platform: YouTube is a global online video sharing and social media platform.,-,Set by the platform and other rules,-,-,Regulations on contents,Algorithmic matching ,-,Low,Intermediate,Multi-language,,
Tiktok,https://www.tiktok.com/,Global,,-,-,International,"Beijing, China",2018,Web-based,Social media (for income generation),"Media, culture, graphic",Other,Video-sharing,-,"Platform: TikTok, also known in China as Douyin (Chinese: 抖音; pinyin: Dǒuyīn), is a short-form video hosting service owned by the Chinese company ByteDance. It hosts user-submitted videos, which can range in duration from 3 seconds to 10 minutes. TikTok is an entirely separate, internationalized version of Douyin, which was released in the Chinese market in September 2016.",-,Set by the platform and other rules,-,-,Regulations on contents,Algorithmic matching ,-,Low,Intermediate,Multi-language,,
Airbnb,https://www.airbnb.co.uk/,Global,,-,-,International,"California, San Francisco, United States",2018,Location-based,Asset sharing,"Hotel, catering, tourism","Rental

Other",Online marketplace for  short-term homestays and experience,-,Platform: Airbnb is an online marketplace for short-term homestays and experiences. The platform acts as a broker and charges a commission from each booking. ,Independent contractor (host of an experience),-,-,Insurance (AirCover),Review and rating,Free choice,-,Low,Basic,Multi-language,,
Hyqoo (a Collabera company),"https://hyqoo.com/
Gary Gardner",Global,,-,-,International,"New Jersey, United states",2019,Web-based,Online marketplace with a threshold,Professional services,Multi-sectoral freelancing,,,,,,,,,Hand matching,,High,High,https://www.linkedin.com/in/atul-kumar-b6ab413/,,
Malt ,"Charlotte Gregson
https://www.linkedin.com/in/charlotte-g-26564a2/",Global,9 Countries in Europe and UAE,-,-,International,,2013,Web-based,Online marketplace with a threshold,Professional services,Multi-sectoral freelancing,,,,,,,,,Algorithmic matching ,,High,High,Multi-language,,
Gigged.AI ,"https://www.linkedin.com/in/craig-short-74ab6652/

https://gigged.ai/",Global,,-,-,International,UK,2022,Web-based,Online marketplace with a threshold,Professional services,Specialised freelancing,IT,,,,,,,,Algorithmic matching ,,High,High,English,,
